payment_id,amount,failure_reason,payment_method,merchant_type,previous_successes,previous_failures,retry_count,days_since_last_payment,customer_tenure_months,mandate_age_days,average_amount,amount_vs_average,recent_success_rate,failure_frequency,retry_interval_hours,recovered
PX000001,499,expired_card,netbanking,saas,12,1,3,4,52,605,551.56,0.905,0.923,0.25,36.51,0
PX000002,499,suspicious_reversal,card,media,5,3,0,29,48,139,351.26,1.421,0.625,0.10345,23.1,1
PX000003,2499,expired_card,wallet,saas,9,0,3,48,47,486,2909.17,0.859,1.0,0.0,37.58,0
PX000004,2499,mandate_expired,upi,subscription,9,1,1,25,60,623,1967.09,1.27,0.9,0.04,3.27,1
PX000005,19999,insufficient_funds,card,education,7,2,3,31,57,112,23139.97,0.864,0.778,0.06452,21.69,1
PX000006,999,insufficient_funds,netbanking,education,9,1,0,6,27,659,963.66,1.037,0.9,0.16667,10.11,1
PX000007,9999,mandate_expired,netbanking,subscription,9,2,2,7,11,429,7364.01,1.358,0.818,0.28571,44.44,0
PX000008,1999,insufficient_funds,netbanking,saas,5,3,3,17,58,243,2032.06,0.984,0.625,0.17647,21.35,1
PX000009,1499,suspicious_reversal,upi,media,8,2,0,34,33,271,1894.48,0.791,0.8,0.05882,38.89,1
PX000010,999,suspicious_reversal,netbanking,ecommerce,8,3,0,47,21,484,898.03,1.112,0.727,0.06383,4.99,0
PX000011,1999,insufficient_funds,upi,media,7,3,1,9,57,11,1566.67,1.276,0.7,0.33333,6.76,1
PX000012,19999,bank_timeout,card,saas,9,2,1,58,32,210,26795.6,0.746,0.818,0.03448,1.68,1
PX000013,999,expired_card,wallet,subscription,8,0,1,50,16,582,785.33,1.272,1.0,0.0,25.71,0
PX000014,19999,suspicious_reversal,wallet,education,10,0,1,36,22,107,25193.37,0.794,1.0,0.0,15.24,1
PX000015,19999,suspicious_reversal,netbanking,subscription,3,0,0,11,50,39,21457.23,0.932,1.0,0.0,32.83,0
PX000016,9999,insufficient_funds,wallet,saas,6,1,0,23,56,383,6812.69,1.468,0.857,0.04348,40.09,1
PX000017,1999,suspicious_reversal,netbanking,subscription,14,1,0,26,37,170,1787.12,1.119,0.933,0.03846,17.9,1
PX000018,1999,insufficient_funds,upi,education,13,2,3,37,39,70,2359.96,0.847,0.867,0.05405,4.51,0
PX000019,4999,bank_timeout,wallet,media,10,3,3,48,32,360,5397.29,0.926,0.769,0.0625,44.73,1
PX000020,9999,bank_timeout,netbanking,subscription,10,2,2,23,8,533,10422.9,0.959,0.833,0.08696,44.97,1
PX000021,2499,mandate_expired,upi,ecommerce,9,2,3,28,19,323,2103.01,1.188,0.818,0.07143,44.13,0
PX000022,2499,bank_timeout,card,media,9,1,3,47,49,145,3319.95,0.753,0.9,0.02128,31.67,1
PX000023,499,bank_timeout,upi,subscription,10,1,2,31,33,544,550.9,0.906,0.909,0.03226,40.93,1
PX000024,9999,expired_card,upi,subscription,6,2,1,6,47,134,13838.83,0.723,0.75,0.33333,22.28,0
PX000025,1499,expired_card,wallet,saas,9,1,3,9,57,203,1264.8,1.185,0.9,0.11111,20.83,0
PX000026,1999,expired_card,wallet,saas,5,1,0,35,22,414,2322.04,0.861,0.833,0.02857,31.28,0
PX000027,2499,insufficient_funds,upi,education,14,0,3,51,50,41,2060.4,1.213,1.0,0.0,16.37,1
PX000028,4999,insufficient_funds,upi,education,6,4,3,42,9,515,4550.46,1.099,0.6,0.09524,30.94,1
PX000029,4999,insufficient_funds,wallet,saas,9,0,3,46,3,317,4876.33,1.025,1.0,0.0,7.66,1
PX000030,999,suspicious_reversal,wallet,subscription,6,5,2,22,45,394,869.89,1.148,0.545,0.22727,40.61,0
PX000031,2499,expired_card,netbanking,media,11,1,1,2,37,678,2395.46,1.043,0.917,0.5,15.11,0
PX000032,2499,bank_timeout,card,ecommerce,18,3,1,3,31,568,2478.41,1.008,0.857,1.0,47.31,1
PX000033,1499,suspicious_reversal,upi,saas,7,0,1,7,56,493,1754.74,0.854,1.0,0.0,37.25,0
PX000034,4999,expired_card,card,media,4,2,3,25,42,654,5685.31,0.879,0.667,0.08,11.79,0
PX000035,2499,insufficient_funds,wallet,media,6,4,3,25,33,100,2648.68,0.943,0.6,0.16,47.89,0
PX000036,4999,mandate_expired,upi,ecommerce,5,0,1,28,58,464,4372.3,1.143,1.0,0.0,20.47,0
PX000037,19999,expired_card,netbanking,saas,10,1,1,53,1,207,20982.78,0.953,0.909,0.01887,38.12,0
PX000038,4999,mandate_expired,wallet,saas,12,1,1,3,4,180,3261.47,1.533,0.923,0.33333,22.12,0
PX000039,9999,insufficient_funds,upi,subscription,5,2,1,7,25,630,6009.26,1.664,0.714,0.28571,24.64,1
PX000040,499,insufficient_funds,card,saas,8,1,1,28,52,520,359.46,1.388,0.889,0.03571,2.75,1
PX000041,499,suspicious_reversal,upi,subscription,4,3,1,52,32,452,364.37,1.369,0.571,0.05769,37.21,0
PX000042,1499,insufficient_funds,upi,media,11,0,2,21,24,14,1097.85,1.365,1.0,0.0,34.95,1
PX000043,1499,expired_card,wallet,ecommerce,8,0,2,60,35,427,1051.59,1.425,1.0,0.0,43.12,0
PX000044,1999,mandate_expired,upi,education,6,2,3,16,38,446,2084.62,0.959,0.75,0.125,19.32,0
PX000045,2499,expired_card,wallet,saas,8,3,1,58,16,131,1898.32,1.316,0.727,0.05172,41.3,0
PX000046,999,insufficient_funds,card,saas,12,2,0,59,60,276,1174.27,0.851,0.857,0.0339,42.66,1
PX000047,4999,insufficient_funds,card,education,8,1,0,21,2,698,3973.59,1.258,0.889,0.04762,5.2,1
PX000048,2499,suspicious_reversal,card,ecommerce,5,4,0,16,9,216,3028.4,0.825,0.556,0.25,42.14,0
PX000049,499,suspicious_reversal,netbanking,media,5,3,0,16,28,118,639.49,0.78,0.625,0.1875,28.25,0
PX000050,4999,insufficient_funds,wallet,ecommerce,8,2,0,27,12,180,5839.81,0.856,0.8,0.07407,40.94,0
PX000051,4999,insufficient_funds,netbanking,saas,10,0,1,8,11,696,4927.14,1.015,1.0,0.0,45.78,1
PX000052,1499,mandate_expired,wallet,ecommerce,4,2,2,32,40,137,2084.93,0.719,0.667,0.0625,39.37,0
PX000053,1499,mandate_expired,wallet,subscription,9,2,2,60,17,206,973.83,1.539,0.818,0.03333,22.27,1
PX000054,1999,bank_timeout,wallet,education,11,1,3,27,18,652,2398.19,0.834,0.917,0.03704,47.61,1
PX000055,9999,expired_card,upi,ecommerce,12,0,3,6,20,488,11243.02,0.889,1.0,0.0,31.99,1
PX000056,19999,insufficient_funds,wallet,subscription,7,2,3,33,33,513,27245.4,0.734,0.778,0.06061,29.48,1
PX000057,1499,expired_card,upi,ecommerce,10,3,3,15,25,667,2007.31,0.747,0.769,0.2,40.56,0
PX000058,499,expired_card,wallet,education,9,2,1,1,3,246,617.77,0.808,0.818,2.0,40.36,1
PX000059,4999,expired_card,netbanking,subscription,8,1,0,17,29,646,5652.68,0.884,0.889,0.05882,5.81,0
PX000060,2499,bank_timeout,upi,saas,12,0,1,41,46,258,3073.7,0.813,1.0,0.0,40.03,1
PX000061,19999,mandate_expired,card,ecommerce,8,0,2,4,14,1,18980.12,1.054,1.0,0.0,37.29,1
PX000062,1499,expired_card,netbanking,media,7,3,2,46,43,340,1340.59,1.118,0.7,0.06522,10.91,1
PX000063,4999,expired_card,wallet,subscription,6,2,0,53,58,713,6490.14,0.77,0.75,0.03774,9.63,1
PX000064,1999,expired_card,wallet,ecommerce,6,2,1,26,16,554,2521.32,0.793,0.75,0.07692,27.16,0
PX000065,9999,insufficient_funds,upi,saas,4,2,3,11,51,650,9758.67,1.025,0.667,0.18182,23.11,0
PX000066,1999,bank_timeout,card,ecommerce,6,1,2,52,11,234,1776.33,1.125,0.857,0.01923,3.13,1
PX000067,1499,insufficient_funds,wallet,education,5,1,0,52,58,551,1882.51,0.796,0.833,0.01923,25.49,0
PX000068,1999,bank_timeout,upi,saas,12,1,3,7,48,633,2141.86,0.933,0.923,0.14286,17.54,1
PX000069,1999,mandate_expired,wallet,education,11,0,1,10,31,528,1821.64,1.097,1.0,0.0,10.69,1
PX000070,9999,expired_card,netbanking,ecommerce,9,0,3,41,55,411,6211.64,1.61,1.0,0.0,35.81,0
PX000071,999,mandate_expired,upi,saas,5,1,1,47,9,363,1028.16,0.972,0.833,0.02128,46.36,0
PX000072,9999,suspicious_reversal,wallet,subscription,11,0,3,48,14,612,8274.35,1.208,1.0,0.0,14.93,0
PX000073,499,bank_timeout,wallet,saas,6,2,1,9,35,138,436.78,1.142,0.75,0.22222,5.1,0
PX000074,999,mandate_expired,upi,media,7,3,0,43,33,221,1321.07,0.756,0.7,0.06977,2.64,0
PX000075,9999,suspicious_reversal,wallet,subscription,8,2,2,18,12,704,6753.61,1.481,0.8,0.11111,41.7,0
PX000076,2499,suspicious_reversal,upi,media,13,0,2,5,35,570,2391.19,1.045,1.0,0.0,44.71,0
PX000077,499,bank_timeout,card,subscription,7,1,0,12,9,416,663.65,0.752,0.875,0.08333,26.02,1
PX000078,9999,insufficient_funds,netbanking,media,10,1,0,40,11,492,9477.13,1.055,0.909,0.025,11.36,1
PX000079,19999,bank_timeout,netbanking,media,8,1,2,36,15,167,22200.63,0.901,0.889,0.02778,2.91,0
PX000080,499,mandate_expired,card,media,11,3,1,31,3,538,482.92,1.033,0.786,0.09677,10.74,0
PX000081,1499,bank_timeout,card,subscription,8,4,3,22,48,350,1076.19,1.393,0.667,0.18182,13.49,1
