customer_id,amount,date,failure_reason,previous_successes,previous_failures,retry_count,recovery_probability_simulated,recovered
C0001,1999,2026-08-16,bank_timeout,2,3,1,0.645,0
C0002,9999,2026-08-12,mandate_expired,25,2,3,0.17999999999999994,0
C0003,499,2026-08-02,insufficient_funds,16,2,2,0.51,0
C0004,499,2026-08-27,bank_timeout,18,2,1,0.79,1
C0005,999,2026-08-13,insufficient_funds,9,0,3,0.4,1
C0006,999,2026-08-12,card_expired,8,0,3,0.33999999999999997,0
C0007,2499,2026-08-25,card_expired,22,5,1,0.49500000000000005,0
C0008,999,2026-08-22,mandate_expired,21,0,3,0.20999999999999996,0
C0009,4999,2026-08-15,card_expired,0,0,0,0.5,1
C0010,499,2026-08-14,bank_timeout,18,2,3,0.63,1
C0011,1499,2026-08-01,insufficient_funds,13,3,3,0.395,1
C0012,799,2026-08-07,mandate_changed_recently,8,2,3,0.30999999999999994,0
C0013,1999,2026-08-12,mandate_changed_recently,5,4,0,0.49000000000000005,0
C0014,1499,2026-08-27,card_expired,2,1,2,0.345,0
C0015,2499,2026-08-23,mandate_changed_recently,19,4,1,0.5100000000000001,1
C0016,1999,2026-08-25,insufficient_funds,3,3,3,0.29500000000000004,1
C0017,9999,2026-08-26,mandate_changed_recently,21,3,1,0.525,0
C0018,4999,2026-08-04,mandate_changed_recently,18,3,3,0.365,1
C0019,9999,2026-08-06,insufficient_funds,9,4,1,0.5000000000000001,0
C0020,999,2026-08-13,card_expired,12,3,3,0.33499999999999996,0
C0021,2499,2026-08-21,mandate_expired,12,2,2,0.23,0
C0022,2499,2026-08-23,bank_timeout,15,0,1,0.8200000000000001,1
C0023,1499,2026-08-21,insufficient_funds,22,2,3,0.43000000000000005,0
C0024,2499,2026-08-11,card_expired,9,5,1,0.435,0
C0025,2499,2026-08-08,card_expired,16,4,0,0.5900000000000001,0
C0026,799,2026-08-20,mandate_changed_recently,6,4,1,0.42,1
C0027,2499,2026-07-28,card_expired,24,0,1,0.5700000000000001,1
C0028,2499,2026-08-18,suspicious_reversal,10,4,3,0.05,1
C0029,2499,2026-08-02,bank_timeout,4,2,3,0.52,1
