customer_id,amount,date,failure_reason,previous_successes,previous_failures,retry_count
C0001,1999,2026-08-16,bank_timeout,2,3,1
C0002,9999,2026-08-12,mandate_expired,25,2,3
C0003,499,2026-08-02,insufficient_funds,16,2,2
C0004,499,2026-08-27,bank_timeout,18,2,1
C0005,999,2026-08-13,insufficient_funds,9,0,3
C0006,999,2026-08-12,card_expired,8,0,3
C0007,2499,2026-08-25,card_expired,22,5,1
C0008,999,2026-08-22,mandate_expired,21,0,3
C0009,4999,2026-08-15,card_expired,0,0,0
C0010,499,2026-08-14,bank_timeout,18,2,3
C0011,1499,2026-08-01,insufficient_funds,13,3,3
C0012,799,2026-08-07,mandate_changed_recently,8,2,3
C0013,1999,2026-08-12,mandate_changed_recently,5,4,0
C0014,1499,2026-08-27,card_expired,2,1,2
C0015,2499,2026-08-23,mandate_changed_recently,19,4,1
C0016,1999,2026-08-25,insufficient_funds,3,3,3
C0017,9999,2026-08-26,mandate_changed_recently,21,3,1
C0018,4999,2026-08-04,mandate_changed_recently,18,3,3
C0019,9999,2026-08-06,insufficient_funds,9,4,1
C0020,999,2026-08-13,card_expired,12,3,3
C0021,2499,2026-08-21,mandate_expired,12,2,2
C0022,2499,2026-08-23,bank_timeout,15,0,1
C0023,1499,2026-08-21,insufficient_funds,22,2,3
C0024,2499,2026-08-11,card_expired,9,5,1
C0025,2499,2026-08-08,card_expired,16,4,0
C0026,799,2026-08-20,mandate_changed_recently,6,4,1
C0027,2499,2026-07-28,card_expired,24,0,1
C0028,2499,2026-08-18,suspicious_reversal,10,4,3
C0029,2499,2026-08-02,bank_timeout,4,2,3
C0030,1999,2026-08-16,suspicious_reversal,10,3,0
C0031,2499,2026-08-07,insufficient_funds,19,4,0
C0032,1499,2026-08-07,suspicious_reversal,7,5,1
C0033,499,2026-07-28,suspicious_reversal,6,1,0
C0034,799,2026-08-20,mandate_expired,6,4,0
C0035,4999,2026-08-07,mandate_expired,21,3,3
C0036,1999,2026-08-09,bank_timeout,7,4,3
C0037,499,2026-08-17,bank_timeout,15,2,1
C0038,9999,2026-08-11,card_expired,19,3,2
C0039,2499,2026-08-15,bank_timeout,7,1,2
C0040,499,2026-08-08,bank_timeout,19,1,0
C0041,2499,2026-08-25,suspicious_reversal,4,4,1
C0042,999,2026-08-22,card_expired,1,5,3
C0043,799,2026-08-19,bank_timeout,3,3,2
C0044,2499,2026-08-12,mandate_expired,7,5,0
C0045,2499,2026-08-07,card_expired,19,2,0
C0046,999,2026-08-02,card_expired,11,3,2
C0047,4999,2026-08-27,insufficient_funds,13,3,3
C0048,2499,2026-08-20,bank_timeout,8,1,0
C0049,499,2026-07-29,insufficient_funds,6,4,3
C0050,999,2026-08-24,suspicious_reversal,6,2,1
C0051,499,2026-08-17,mandate_expired,20,4,2
C0052,1499,2026-08-15,mandate_changed_recently,17,1,1
C0053,9999,2026-08-12,insufficient_funds,13,5,3
C0054,2499,2026-08-05,card_expired,15,1,2
C0055,499,2026-08-10,mandate_changed_recently,1,4,0
C0056,799,2026-07-30,mandate_changed_recently,13,5,2
C0057,799,2026-08-03,mandate_changed_recently,4,4,1
C0058,9999,2026-08-08,mandate_changed_recently,14,5,1
C0059,4999,2026-08-09,card_expired,15,1,2
C0060,499,2026-08-08,card_expired,11,2,3
C0061,2499,2026-08-04,bank_timeout,16,0,1
C0062,499,2026-08-17,card_expired,19,3,3
C0063,1499,2026-08-22,bank_timeout,18,2,3
C0064,799,2026-08-13,suspicious_reversal,10,2,0
C0065,9999,2026-08-10,card_expired,5,4,0
C0066,1999,2026-08-03,insufficient_funds,16,5,2
C0067,499,2026-07-31,suspicious_reversal,18,1,0
C0068,999,2026-08-24,card_expired,14,0,1
C0069,1499,2026-08-06,mandate_expired,4,1,0
C0070,1499,2026-08-24,mandate_expired,22,0,0
C0071,1499,2026-08-05,insufficient_funds,3,2,2
C0072,1999,2026-08-22,mandate_changed_recently,2,0,2
C0073,1999,2026-08-15,card_expired,22,2,1
C0074,9999,2026-08-06,insufficient_funds,4,3,3
C0075,9999,2026-08-04,mandate_expired,7,4,0
C0076,1499,2026-08-20,suspicious_reversal,25,3,0
C0077,999,2026-08-08,mandate_changed_recently,11,4,2
C0078,1999,2026-07-28,mandate_changed_recently,23,3,0
C0079,2499,2026-08-26,card_expired,22,5,0
C0080,1499,2026-07-31,mandate_changed_recently,15,4,2
C0081,799,2026-08-14,insufficient_funds,0,0,2
C0082,4999,2026-08-27,card_expired,6,5,2
C0083,2499,2026-08-03,mandate_changed_recently,14,4,0
C0084,1999,2026-08-15,suspicious_reversal,1,4,1
C0085,4999,2026-08-27,bank_timeout,10,0,3
C0086,9999,2026-08-23,suspicious_reversal,3,2,1
C0087,999,2026-08-07,bank_timeout,8,2,1
C0088,999,2026-08-14,suspicious_reversal,17,0,3
C0089,2499,2026-08-14,card_expired,6,0,3
C0090,1499,2026-08-01,card_expired,4,3,0
C0091,499,2026-08-08,mandate_changed_recently,18,1,0
C0092,2499,2026-08-24,card_expired,3,0,2
C0093,799,2026-08-24,card_expired,9,2,2
C0094,1499,2026-08-22,mandate_expired,4,4,2
C0095,1499,2026-08-11,bank_timeout,17,1,1
C0096,9999,2026-08-17,mandate_changed_recently,18,5,3
C0097,799,2026-08-06,suspicious_reversal,8,0,2
C0098,1499,2026-08-17,mandate_expired,9,4,0
C0099,799,2026-08-01,mandate_changed_recently,10,2,1
C0100,2499,2026-08-19,insufficient_funds,16,4,1
C0101,1999,2026-08-26,mandate_expired,6,0,1
C0102,799,2026-08-23,suspicious_reversal,10,3,2
C0103,1999,2026-08-21,card_expired,14,3,2
C0104,499,2026-08-17,bank_timeout,0,0,3
C0105,799,2026-08-19,mandate_changed_recently,2,0,2
C0106,1999,2026-08-06,mandate_changed_recently,23,1,1
C0107,2499,2026-08-05,bank_timeout,7,4,0
C0108,1499,2026-08-10,insufficient_funds,25,0,2
C0109,4999,2026-08-10,mandate_changed_recently,12,2,0
C0110,799,2026-08-07,bank_timeout,4,0,3
C0111,999,2026-08-23,card_expired,1,2,2
C0112,1499,2026-08-23,suspicious_reversal,8,1,2
C0113,799,2026-08-02,insufficient_funds,18,4,2
C0114,9999,2026-08-11,insufficient_funds,1,2,2
C0115,2499,2026-08-24,insufficient_funds,15,4,3
C0116,499,2026-08-19,insufficient_funds,10,0,3
C0117,4999,2026-08-22,mandate_changed_recently,16,4,3
C0118,4999,2026-08-15,suspicious_reversal,21,3,1
C0119,1499,2026-08-22,insufficient_funds,23,4,3
C0120,799,2026-08-06,mandate_expired,4,2,1
C0121,799,2026-08-11,bank_timeout,10,5,2
C0122,1999,2026-08-26,bank_timeout,8,4,3
C0123,2499,2026-08-16,bank_timeout,13,1,3
C0124,2499,2026-08-12,mandate_expired,19,3,1
C0125,4999,2026-07-28,mandate_expired,18,0,2
C0126,2499,2026-08-18,insufficient_funds,2,3,0
C0127,999,2026-08-06,bank_timeout,7,4,2
C0128,1499,2026-08-10,mandate_changed_recently,14,3,2
C0129,1499,2026-08-04,mandate_changed_recently,25,4,2
C0130,2499,2026-08-08,bank_timeout,12,0,2
C0131,4999,2026-08-10,mandate_expired,17,4,1
C0132,499,2026-08-20,card_expired,10,5,2
C0133,4999,2026-08-17,mandate_changed_recently,24,5,2
